"Date","Open","High","Low","Close","Volume","Market.Cap","Coin"
"Oct 08, 2018",1,1.01,1,1,382900,0,"USD"
"Oct 09, 2018",1,1.01,1,1.01,108803,0,"USD"
"Oct 10, 2018",1,1.02,1,1.01,711783,0,"USD"
"Oct 11, 2018",1.01,1.03,1,1.01,4177290,0,"USD"
"Oct 12, 2018",1.01,1.02,1,1.01,1322240,0,"USD"
"Oct 13, 2018",1.01,1.02,1,1.01,698507,0,"USD"
"Oct 14, 2018",1.01,1.02,1,1.02,982750,0,"USD"
"Oct 15, 2018",1.02,1.11,0.9984,1.03,10660400,0,"USD"
"Oct 16, 2018",1.03,1.04,1.02,1.02,2124080,24323316,"USD"
"Oct 17, 2018",1.02,1.03,1.01,1.01,1102740,24107423,"USD"
"Oct 18, 2018",1.01,1.02,1.01,1.01,1182450,24187789,"USD"
"Oct 19, 2018",1.01,1.02,1.01,1.01,715078,24002106,"USD"
"Oct 20, 2018",1.01,1.01,1,1.01,299871,23994903,"USD"
"Oct 21, 2018",1.01,1.02,1,1.01,509276,24149159,"USD"
"Oct 22, 2018",1.01,1.02,1,1.01,1211160,33637864,"USD"
"Oct 23, 2018",1.01,1.02,1.01,1.01,1503840,0,"USD"
"Oct 24, 2018",1.01,1.01,1,1.01,923940,85597084,"USD"
"Oct 25, 2018",1.01,1.01,1,1.01,1365520,85423351,"USD"
"Oct 26, 2018",1.01,1.02,1,1.01,950623,125705149,"USD"
"Oct 27, 2018",1.01,1.01,1,1.01,712963,125258974,"USD"
"Oct 28, 2018",1.01,1.01,1,1.01,282707,125585474,"USD"
"Oct 29, 2018",1.01,1.02,1.01,1.01,1983680,126268125,"USD"
"Oct 30, 2018",1.01,1.01,1,1,715882,127961109,"USD"
"Oct 31, 2018",1.01,1.01,0.994,0.9964,1279360,126902715,"USD"
"Nov 01, 2018",0.9964,1.02,0.9912,0.9925,1800480,126328568,"USD"
"Nov 02, 2018",0.9929,1.01,0.9882,1,2042390,132263916,"USD"
"Nov 03, 2018",1,1.01,0.9978,1,1402480,132760170,"USD"
"Nov 04, 2018",1,1.01,0.9827,0.9977,2144200,131925671,"USD"
"Nov 05, 2018",0.997,1.01,0.9967,0.9987,1287400,134043873,"USD"
"Nov 06, 2018",1,1.01,0.9971,1,2241070,134764761,"USD"
"Nov 07, 2018",1,1.01,0.9972,1,2589880,134846051,"USD"
"Nov 08, 2018",1,1.01,0.9986,1,3423190,134582387,"USD"
"Nov 09, 2018",1,1.01,1,1.01,3478250,135152023,"USD"
"Nov 10, 2018",1.01,1.03,0.9959,1.01,2497760,135543519,"USD"
"Nov 11, 2018",1.01,1.02,0.9967,1.01,4726130,135307300,"USD"
"Nov 12, 2018",1.01,1.02,1,1.01,6446540,135869180,"USD"
"Nov 13, 2018",1.01,1.02,0.9995,1.01,6483310,135535719,"USD"
"Nov 14, 2018",1.02,1.04,0.9991,1.02,24013300,145938458,"USD"
"Nov 15, 2018",1.02,1.06,1.01,1.02,18776600,145288638,"USD"
"Nov 16, 2018",1.02,1.04,1.01,1.03,9247040,147038389,"USD"
"Nov 17, 2018",1.03,1.04,1.01,1.01,5537380,144078009,"USD"
"Nov 18, 2018",1.01,1.01,1,1.01,5735460,144472180,"USD"
"Nov 19, 2018",1.01,1.05,1,1.02,27873100,145433960,"USD"
"Nov 20, 2018",1.02,1.06,1.01,1.02,43293600,156707498,"USD"
"Nov 21, 2018",1.02,1.03,1.01,1.01,20164000,165035815,"USD"
"Nov 22, 2018",1.01,1.02,1.01,1.02,11556600,166175762,"USD"
"Nov 23, 2018",1.02,1.03,1.01,1.02,17717500,169431172,"USD"
"Nov 24, 2018",1.02,1.04,1.01,1.02,19409700,169951729,"USD"
"Nov 25, 2018",1.03,1.04,0.9903,1.03,23476200,170393049,"USD"
"Nov 26, 2018",1.02,1.06,1.02,1.04,29734800,172044015,"USD"
"Nov 27, 2018",1.03,1.04,0.9955,1.01,13622700,170711291,"USD"
"Nov 28, 2018",1.01,1.03,1,1.01,23327400,173690422,"USD"
"Nov 29, 2018",1.01,1.02,1,1.01,18025473,179215723,"USD"
"Nov 30, 2018",1.01,1.02,1,1.01,14143221,178350744,"USD"
"Dec 01, 2018",1.01,1.03,1,1.01,14198649,177962574,"USD"
"Dec 02, 2018",1.01,1.03,0.9933,1.01,10761895,178770938,"USD"
"Dec 03, 2018",1.01,1.02,1,1.01,12188098,178146806,"USD"
"Dec 04, 2018",1.01,1.02,1,1.01,12556999,178853754,"USD"
"Dec 05, 2018",1.01,1.02,1,1.01,14257800,180498555,"USD"
"Dec 06, 2018",1.01,1.02,1,1.02,21637768,181375785,"USD"
"Dec 07, 2018",1.02,1.03,1,1.01,29947363,186984732,"USD"
"Dec 08, 2018",1.01,1.03,1.01,1.02,17724714,189115397,"USD"
"Dec 09, 2018",1.02,1.03,1.01,1.02,14831259,188363784,"USD"
"Dec 10, 2018",1.02,1.03,1.01,1.02,12987868,194659964,"USD"
"Dec 11, 2018",1.03,1.04,1.02,1.02,12104531,193258122,"USD"
"Dec 12, 2018",1.02,1.04,0.9898,1.02,10392693,195911389,"USD"
"Dec 13, 2018",1.04,1.04,0.983,1.02,8569160,195990468,"USD"
"Dec 14, 2018",1.02,1.03,1.01,1.02,11571584,205058003,"USD"
"Dec 15, 2018",1.02,1.02,0.9951,0.9979,8595919,201408567,"USD"
"Dec 16, 2018",1,1.04,0.998,1.01,9383751,204222547,"USD"
"Dec 17, 2018",1.03,1.03,0.9981,1.01,18392475,214498101,"USD"
"Dec 18, 2018",1.01,1.02,1,1.01,24572396,216113191,"USD"
"Dec 19, 2018",1.01,1.02,1,1.02,46352135,227179148,"USD"
"Dec 20, 2018",1.02,1.02,1.01,1.02,58976758,229602070,"USD"
"Dec 21, 2018",1.02,1.02,1.01,1.02,46603504,231531679,"USD"
"Dec 22, 2018",1.01,1.02,0.9971,1.01,26222950,230419100,"USD"
"Dec 23, 2018",1.01,1.02,1.01,1.01,23629168,230406708,"USD"
"Dec 24, 2018",1.01,1.02,0.9984,1.01,43621601,230219939,"USD"
"Dec 25, 2018",1.01,1.03,1.01,1.01,27610569,230303642,"USD"
"Dec 26, 2018",1.01,1.02,1.01,1.01,19786403,230733088,"USD"
"Dec 27, 2018",1.02,1.03,1.01,1.02,23019282,241190277,"USD"
"Dec 28, 2018",1.02,1.02,0.9786,1.01,28974098,244258933,"USD"
"Dec 29, 2018",1.01,1.04,1,1.02,22783697,251416580,"USD"
"Dec 30, 2018",1.02,1.03,1.01,1.01,18537225,249383515,"USD"
"Dec 31, 2018",1.01,1.03,1.01,1.02,20975704,254230218,"USD"
"Jan 01, 2019",1.02,1.02,1.01,1.01,17007853,261353425,"USD"
"Jan 02, 2019",1.01,1.02,1.01,1.02,18125812,288816454,"USD"
"Jan 03, 2019",1.01,1.02,1.01,1.01,15279811,290759445,"USD"
"Jan 04, 2019",1.02,1.02,1,1.01,17203036,293621600,"USD"
"Jan 05, 2019",1.01,1.02,1,1.01,15428171,294420174,"USD"
"Jan 06, 2019",1.01,1.02,0.9892,1.01,18503989,305397453,"USD"
"Jan 07, 2019",1.01,1.01,1,1.01,18697630,316560983,"USD"
"Jan 08, 2019",1.01,1.02,1,1.01,23189996,327134638,"USD"
"Jan 09, 2019",1.01,1.01,1,1,23000567,337931396,"USD"
"Jan 10, 2019",1,1.03,1,1.01,51534670,346525551,"USD"
"Jan 11, 2019",1.02,1.02,1.01,1.01,25279715,356762456,"USD"
"Jan 12, 2019",1.01,1.02,1.01,1.01,12617410,364888858,"USD"
"Jan 13, 2019",1.01,1.03,1.01,1.01,16808894,372399548,"USD"
"Jan 14, 2019",1.01,1.02,0.9987,1.01,25825886,365745274,"USD"
"Jan 15, 2019",1.01,1.02,1.01,1.01,26459207,360749462,"USD"
"Jan 16, 2019",1.01,1.02,1.01,1.01,25957206,321495519,"USD"
"Jan 17, 2019",1.01,1.04,1.01,1.03,41708422,322975567,"USD"
"Jan 18, 2019",1.03,1.04,1.01,1.01,18899249,326379674,"USD"
"Jan 19, 2019",1.01,1.01,1,1.01,15830400,325827499,"USD"
"Jan 20, 2019",1.01,1.03,1.01,1.02,14934092,327478050,"USD"
"Jan 21, 2019",1.02,1.02,1.01,1.01,12277261,328795313,"USD"
"Jan 22, 2019",1.01,1.02,1.01,1.01,18848807,332524898,"USD"
"Jan 23, 2019",1.01,1.01,1.01,1.01,14686835,315423713,"USD"
"Jan 24, 2019",1.01,1.01,1.01,1.01,19309437,323387386,"USD"
"Jan 25, 2019",1.01,1.01,1.01,1.01,16078526,326799021,"USD"
"Jan 26, 2019",1.01,1.02,1.01,1.01,12311593,326739212,"USD"
"Jan 27, 2019",1.01,1.02,1.01,1.01,17334193,333585022,"USD"
"Jan 28, 2019",1.01,1.02,1.01,1.01,34421448,318116020,"USD"
"Jan 29, 2019",1.01,1.02,1.01,1.01,26620698,318523792,"USD"
"Jan 30, 2019",1.01,1.02,1.01,1.01,28233801,318185578,"USD"
"Jan 31, 2019",1.01,1.02,1,1.01,30016994,297790025,"USD"
"Feb 01, 2019",1.01,1.03,1.01,1.02,26896947,303077425,"USD"
"Feb 02, 2019",1.01,1.02,1.01,1.02,23207115,303768812,"USD"
"Feb 03, 2019",1.02,1.02,1.01,1.01,26365349,302531642,"USD"
"Feb 04, 2019",1.01,1.02,1.01,1.01,24242526,291806351,"USD"
"Feb 05, 2019",1.01,1.01,1.01,1.01,19011789,291042663,"USD"
"Feb 06, 2019",1.01,1.02,1.01,1.01,27032564,291895730,"USD"
"Feb 07, 2019",1.01,1.02,1.01,1.01,15429983,276092246,"USD"
"Feb 08, 2019",1.01,1.02,1.01,1.02,31291520,277576609,"USD"
"Feb 09, 2019",1.02,1.02,1.01,1.01,21523062,261570199,"USD"
"Feb 10, 2019",1.01,1.02,1.01,1.01,19451268,262005710,"USD"
"Feb 11, 2019",1.02,1.02,1.01,1.01,19063318,261437387,"USD"
"Feb 12, 2019",1.01,1.02,1.01,1.02,28682063,262859263,"USD"
"Feb 13, 2019",1.02,1.02,1.01,1.01,27483515,246858432,"USD"
"Feb 14, 2019",1.01,1.02,1.01,1.01,27582140,246582359,"USD"
"Feb 15, 2019",1.01,1.02,1,1.01,35775279,247301762,"USD"
"Feb 16, 2019",1.01,1.02,1.01,1.01,44255529,247555008,"USD"
"Feb 17, 2019",1.01,1.03,1.01,1.02,45168007,250117816,"USD"
